B25010_001E,geoid
2.60,06037101110
2.98,06037101122
2.53,06037101220
2.59,06037101221
2.70,06037101222
2.75,06037101300
2.59,06037101400
2.88,06037102103
2.95,06037102104
3.21,06037102105
2.81,06037102107
2.74,06037103101
2.71,06037103102
2.63,06037103201
2.98,06037103202
3.09,06037103300
2.62,06037103401
2.72,06037103402
4.75,06037104103
3.69,06037104105
3.83,06037104108
2.93,06037104124
5.01,06037104201
4.64,06037104203
4.54,06037104204
5.06,06037104310
3.76,06037104321
4.13,06037104322
4.95,06037104401
4.49,06037104403
4.52,06037104404
5.66,06037104500
4.72,06037104610
4.62,06037104620
4.10,06037104701
3.79,06037104703
3.77,06037104704
4.63,06037104821
3.45,06037104822
4.62,06037104823
5.31,06037104824
4.32,06037106010
3.72,06037106020
3.37,06037106111
3.42,06037106112
3.59,06037106113
3.79,06037106114
4.49,06037106403
3.59,06037106405
3.33,06037106406
2.64,06037106407
3.86,06037106408
3.39,06037106510
3.89,06037106520
3.00,06037106603
3.37,06037106604
2.86,06037106641
2.88,06037106642
3.10,06037106643
2.92,06037106645
2.92,06037106646
3.95,06037106648
4.19,06037106649
3.88,06037107010
4.06,06037107020
2.80,06037108101
2.83,06037108102
3.05,06037108103
3.12,06037108104
2.89,06037108202
2.69,06037108203
2.71,06037108204
2.85,06037109100
2.64,06037109200
3.08,06037109300
3.20,06037109400
3.95,06037109500
3.78,06037109601
3.17,06037109603
3.12,06037109604
3.03,06037109700
3.07,06037109800
3.12,06037111100
3.17,06037111201
2.88,06037111202
3.22,06037111204
2.70,06037111205
3.10,06037111206
2.73,06037111302
3.09,06037111303
2.29,06037111304
3.17,06037111401
2.70,06037111402
2.83,06037113101
2.86,06037113102
2.53,06037113211
2.83,06037113212
2.86,06037113213
2.62,06037113231
2.95,06037113232
3.33,06037113234
2.50,06037113235
3.07,06037113237
3.18,06037113238
2.49,06037113239
2.55,06037113301
2.70,06037113303
2.92,06037113322
2.60,06037113323
2.85,06037113324
3.27,06037113423
2.79,06037113424
3.16,06037113425
3.12,06037113426
2.54,06037113427
3.70,06037113428
2.67,06037115101
1.71,06037115103
2.20,06037115104
2.88,06037115202
1.91,06037115203
2.34,06037115204
2.66,06037115301
3.63,06037115302
2.94,06037115401
3.11,06037115403
3.02,06037115404
3.51,06037117101
3.01,06037117102
3.25,06037117201
2.88,06037117202
3.29,06037117301
3.05,06037117302
3.43,06037117303
3.57,06037117404
3.68,06037117405
3.17,06037117407
3.33,06037117408
3.56,06037117510
4.08,06037117520
3.32,06037117530
4.14,06037119001
4.02,06037119003
4.05,06037119004
4.56,06037119201
4.09,06037119202
2.90,06037119310
3.30,06037119320
3.72,06037119340
3.15,06037119341
