car_avg_travel_time,GEOID
31.3,06037101110
37.99,06037101122
30.12,06037101220
35.05,06037101221
33.69,06037101222
30.26,06037101300
42.29,06037101400
27.6,06037102103
33.09,06037102104
37.42,06037102105
38.42,06037102107
34.9,06037103101
38.68,06037103102
38.57,06037103201
38.33,06037103202
36.37,06037103300
28.1,06037103401
37.65,06037103402
33.59,06037104103
33.56,06037104105
33.26,06037104108
37.7,06037104124
35.44,06037104201
30.87,06037104203
33.17,06037104204
29.52,06037104310
37.6,06037104321
30.9,06037104322
32.08,06037104401
23.36,06037104403
32.03,06037104404
33.08,06037104500
27.35,06037104610
35.97,06037104620
31.72,06037104701
28.66,06037104703
30.44,06037104704
30.87,06037104821
29.87,06037104822
33.8,06037104823
35.3,06037104824
33.9,06037106010
34.08,06037106020
35.1,06037106111
34.58,06037106112
34.07,06037106113
30.33,06037106114
36.44,06037106403
30.32,06037106405
27.57,06037106406
30.71,06037106407
31.83,06037106408
34.51,06037106510
31.28,06037106520
35.03,06037106603
31.36,06037106604
37.07,06037106641
36.21,06037106642
39.39,06037106643
40.89,06037106645
33.42,06037106646
31.55,06037106648
33.82,06037106649
34.05,06037107010
33.66,06037107020
32.97,06037108101
31.18,06037108102
37.16,06037108103
44.29,06037108104
41.07,06037108202
33.15,06037108203
37.47,06037108204
31.57,06037109100
33.63,06037109200
35.43,06037109300
33.28,06037109400
33.43,06037109500
32.26,06037109601
32.41,06037109603
30.56,06037109604
36.34,06037109700
30.15,06037109800
28.11,06037111100
33.16,06037111201
30.87,06037111202
31.17,06037111204
35.49,06037111205
33.8,06037111206
33.18,06037111302
37.1,06037111303
26.15,06037111304
34.6,06037111401
34.6,06037111402
29.65,06037113101
34.88,06037113102
35.85,06037113211
25.38,06037113212
28.56,06037113213
38.57,06037113231
34.63,06037113232
30.73,06037113234
36.75,06037113235
35.59,06037113237
35.48,06037113238
31.27,06037113239
28.79,06037113301
30.86,06037113303
28.9,06037113322
32.11,06037113323
27.14,06037113324
34.96,06037113423
36.38,06037113424
28.77,06037113425
38.96,06037113426
33.76,06037113427
33.05,06037113428
38.71,06037115101
28.07,06037115103
28.6,06037115104
32.45,06037115202
32.5,06037115203
29.93,06037115204
34.87,06037115301
31.34,06037115302
30.52,06037115401
33.66,06037115403
32.85,06037115404
35.86,06037117101
29.07,06037117102
28.83,06037117201
31.45,06037117202
35.27,06037117301
36.93,06037117302
34.46,06037117303
38.51,06037117404
35.53,06037117405
33.65,06037117407
32.19,06037117408
30.96,06037117510
31.92,06037117520
28.29,06037117530
34.27,06037119001
33.0,06037119003
30.55,06037119004
28.21,06037119201
30.47,06037119202
28.4,06037119310
29.58,06037119320
31.25,06037119340
35.76,06037119341
35.68,06037119342
32.26,06037119400
35.49,06037119700
34.38,06037119801
38.12,06037119802
33.95,06037119900
31.79,06037120010
31.95,06037120020
34.73,06037120030
40.35,06037120103
32.11,06037120104
29.7,06037120105
39.72,06037120106
32.93,06037120107
31.72,06037120108
31.48,06037120300
25.48,06037120400
27.36,06037121010
27.95,06037121020
30.3,06037121101
30.72,06037121102
32.86,06037121210
33.9,06037121221
29.78,06037121222
31.21,06037121600
30.59,06037121801
34.19,06037121802
27.65,06037121900
29.44,06037122000
27.47,06037122120
27.59,06037122121
28.98,06037122122
28.92,06037122200
32.5,06037122410
30.34,06037122420
34.14,06037123010
28.76,06037123020
28.47,06037123103
30.33,06037123104
34.03,06037123203
33.82,06037123204
29.85,06037123205
30.57,06037123206
36.13,06037123301
33.24,06037123303
28.02,06037123304
31.6,06037123410
32.21,06037123420
31.56,06037123510
38.15,06037123520
41.78,06037123601
36.23,06037123602
33.68,06037123700
31.36,06037123800
29.83,06037123901
27.37,06037123902
31.17,06037124000
33.4,06037124102
29.96,06037124103
29.94,06037124104
29.21,06037124105
31.03,06037124201
30.74,06037124203
41.88,06037124204
29.95,06037124300
30.75,06037124400
30.78,06037124500
33.29,06037124600
33.82,06037124700
31.72,06037124902
31.94,06037124903
38.85,06037125101
30.31,06037125102
28.37,06037125200
26.9,06037125310
38.61,06037125321
29.39,06037125322
31.95,06037125402
24.78,06037125403
26.82,06037125404
27.6,06037125501
30.96,06037125502
28.28,06037125600
31.59,06037127102
33.19,06037127103
35.14,06037127104
31.18,06037127210
37.49,06037127220
34.74,06037127300
35.26,06037127400
37.28,06037127520
33.47,06037127603
35.56,06037127604
37.12,06037127605
30.05,06037127606
31.1,06037127711
31.48,06037127712
36.48,06037127803
35.32,06037127804
29.42,06037127805
31.2,06037127806
33.54,06037127910
36.87,06037127920
37.39,06037128101
36.01,06037128102
33.39,06037128210
34.39,06037128220
37.65,06037128302
29.28,06037128303
31.78,06037128400
35.39,06037128500
40.81,06037128601
32.96,06037128602
38.04,06037128703
32.01,06037128704
30.11,06037128801
31.96,06037128802
35.09,06037128910
38.85,06037131021
33.52,06037131022
41.33,06037131023
33.59,06037131024
33.48,06037131100
31.96,06037131200
36.66,06037131300
34.49,06037131400
37.43,06037131600
28.59,06037131701
38.58,06037131702
35.43,06037131801
32.68,06037131802
33.88,06037131900
34.92,06037132001
39.76,06037132002
30.27,06037132101
38.03,06037132102
28.22,06037132301
31.75,06037132302
30.76,06037132501
30.61,06037132502
38.2,06037132700
39.51,06037132900
33.54,06037133000
32.31,06037133101
37.32,06037133102
34.53,06037134001
29.79,06037134002
29.01,06037134101
29.82,06037134103
33.31,06037134104
28.41,06037134201
33.0,06037134302
31.74,06037134303
34.62,06037134304
28.63,06037134305
29.43,06037134306
36.04,06037134421
28.46,06037134422
34.72,06037134423
36.4,06037134424
32.3,06037134520
31.12,06037134521
33.36,06037134522
34.9,06037134710
31.23,06037134720
35.7,06037134801
32.88,06037134802
35.55,06037134901
