car_co2_metric_tons_per_household,GEOID
3.451,06037101110
3.993,06037101122
2.811,06037101220
3.541,06037101221
2.927,06037101222
2.966,06037101300
4.087,06037101400
2.481,06037102103
2.644,06037102104
4.076,06037102105
4.246,06037102107
4.205,06037103101
3.547,06037103102
3.877,06037103201
3.828,06037103202
3.026,06037103300
2.317,06037103401
3.878,06037103402
5.945,06037104103
4.679,06037104105
4.629,06037104108
4.132,06037104124
7.434,06037104201
4.824,06037104203
5.633,06037104204
5.72,06037104310
5.034,06037104321
5.347,06037104322
5.642,06037104401
4.038,06037104403
5.809,06037104404
5.891,06037104500
4.8,06037104610
6.948,06037104620
4.468,06037104701
4.423,06037104703
4.412,06037104704
4.861,06037104821
3.501,06037104822
4.861,06037104823
8.654,06037104824
5.263,06037106010
5.338,06037106020
4.586,06037106111
5.284,06037106112
4.887,06037106113
4.527,06037106114
6.703,06037106403
4.446,06037106405
4.165,06037106406
2.585,06037106407
3.566,06037106408
4.46,06037106510
4.396,06037106520
3.48,06037106603
4.343,06037106604
3.057,06037106641
3.005,06037106642
3.758,06037106643
3.676,06037106645
3.342,06037106646
5.445,06037106648
5.048,06037106649
5.362,06037107010
5.028,06037107020
3.129,06037108101
2.471,06037108102
3.482,06037108103
3.234,06037108104
4.093,06037108202
3.057,06037108203
3.747,06037108204
3.128,06037109100
3.564,06037109200
4.716,06037109300
5.074,06037109400
5.348,06037109500
5.113,06037109601
3.568,06037109603
4.244,06037109604
3.637,06037109700
3.456,06037109800
3.615,06037111100
4.032,06037111201
2.59,06037111202
3.582,06037111204
4.405,06037111205
3.694,06037111206
4.012,06037111302
4.328,06037111303
3.009,06037111304
4.554,06037111401
3.462,06037111402
3.118,06037113101
3.046,06037113102
3.261,06037113211
3.249,06037113212
3.935,06037113213
3.549,06037113231
3.977,06037113232
3.445,06037113234
3.788,06037113235
3.308,06037113237
4.57,06037113238
3.436,06037113239
2.756,06037113301
3.251,06037113303
2.741,06037113322
3.651,06037113323
2.763,06037113324
4.43,06037113423
3.027,06037113424
3.599,06037113425
3.976,06037113426
3.311,06037113427
6.373,06037113428
3.062,06037115101
31.813,06037115103
2.814,06037115104
3.69,06037115202
1.911,06037115203
2.878,06037115204
3.251,06037115301
4.119,06037115302
3.428,06037115401
3.963,06037115403
3.791,06037115404
4.572,06037117101
3.819,06037117102
3.342,06037117201
2.515,06037117202
5.01,06037117301
3.906,06037117302
3.988,06037117303
4.946,06037117404
4.184,06037117405
4.068,06037117407
4.126,06037117408
3.809,06037117510
3.823,06037117520
3.092,06037117530
6.89,06037119001
4.358,06037119003
3.805,06037119004
5.279,06037119201
4.766,06037119202
3.553,06037119310
3.859,06037119320
3.377,06037119340
5.005,06037119341
5.483,06037119342
5.845,06037119400
4.799,06037119700
6.098,06037119801
5.479,06037119802
4.935,06037119900
4.634,06037120010
3.966,06037120020
4.008,06037120030
4.383,06037120103
3.48,06037120104
