college_attainment_rate,GEOID
0.27,06037101110
0.34,06037101122
0.31,06037101220
0.24,06037101221
0.19,06037101222
0.37,06037101300
0.25,06037101400
0.29,06037102103
0.45,06037102104
0.21,06037102105
0.37,06037102107
0.36,06037103101
0.18,06037103102
0.26,06037103201
0.31,06037103202
0.36,06037103300
0.42,06037103401
0.33,06037103402
0.18,06037104103
0.16,06037104105
0.09,06037104108
0.25,06037104124
0.11,06037104201
0.11,06037104203
0.13,06037104204
0.08,06037104310
0.04,06037104321
0.13,06037104322
0.12,06037104401
0.09,06037104403
0.06,06037104404
0.07,06037104500
0.03,06037104610
0.09,06037104620
0.09,06037104701
0.08,06037104703
0.12,06037104704
0.09,06037104821
0.1,06037104822
0.2,06037104823
0.09,06037104824
0.21,06037106010
0.3,06037106020
0.22,06037106111
0.23,06037106112
0.24,06037106113
0.15,06037106114
0.19,06037106403
0.23,06037106405
0.2,06037106406
0.11,06037106407
0.09,06037106408
0.32,06037106510
0.16,06037106520
0.41,06037106603
0.15,06037106604
0.48,06037106641
0.48,06037106642
0.51,06037106643
0.41,06037106645
0.42,06037106646
0.08,06037106648
0.18,06037106649
0.16,06037107010
0.17,06037107020
0.48,06037108101
0.6,06037108102
0.54,06037108103
0.62,06037108104
0.6,06037108202
0.62,06037108203
0.74,06037108204
0.18,06037109100
0.45,06037109200
0.3,06037109300
0.31,06037109400
0.09,06037109500
0.16,06037109601
0.21,06037109603
0.23,06037109604
0.33,06037109700
0.26,06037109800
0.27,06037111100
0.39,06037111201
0.31,06037111202
0.55,06037111204
0.45,06037111205
0.47,06037111206
0.47,06037111302
0.37,06037111303
0.38,06037111304
0.4,06037111401
0.26,06037111402
0.52,06037113101
0.52,06037113102
0.5,06037113211
0.34,06037113212
0.44,06037113213
0.58,06037113231
0.44,06037113232
0.19,06037113234
0.25,06037113235
0.44,06037113237
0.21,06037113238
0.23,06037113239
0.48,06037113301
0.45,06037113303
0.47,06037113322
0.39,06037113323
0.39,06037113324
0.32,06037113423
0.32,06037113424
0.2,06037113425
0.34,06037113426
0.18,06037113427
0.39,06037113428
0.57,06037115101
0.7,06037115103
0.59,06037115104
0.37,06037115202
0.37,06037115203
0.42,06037115204
0.38,06037115301
0.15,06037115302
0.24,06037115401
0.42,06037115403
0.37,06037115404
0.38,06037117101
0.25,06037117102
0.23,06037117201
0.34,06037117202
0.41,06037117301
0.44,06037117302
0.27,06037117303
0.44,06037117404
0.06,06037117405
0.06,06037117407
0.12,06037117408
0.06,06037117510
0.07,06037117520
0.14,06037117530
0.21,06037119001
0.1,06037119003
0.12,06037119004
0.14,06037119201
0.09,06037119202
0.24,06037119310
0.17,06037119320
0.07,06037119340
0.23,06037119341
0.2,06037119342
0.12,06037119400
0.34,06037119700
0.19,06037119801
0.09,06037119802
0.16,06037119900
0.17,06037120010
0.24,06037120020
0.21,06037120030
0.08,06037120103
0.29,06037120104
0.17,06037120105
0.11,06037120106
0.07,06037120107
0.19,06037120108
0.24,06037120300
0.18,06037120400
0.15,06037121010
0.17,06037121020
0.2,06037121101
0.21,06037121102
0.13,06037121210
0.2,06037121221
0.14,06037121222
0.33,06037121600
0.15,06037121801
0.21,06037121802
0.16,06037121900
0.2,06037122000
0.14,06037122120
0.14,06037122121
0.08,06037122122
0.11,06037122200
0.2,06037122410
0.13,06037122420
0.13,06037123010
0.12,06037123020
0.26,06037123103
0.25,06037123104
0.13,06037123203
0.16,06037123204
0.15,06037123205
0.09,06037123206
0.38,06037123301
