co2_metric_tons_per_household,GEOID
3.564,06037101110
3.144,06037101210
3.189,06037101220
3.824,06037101300
3.926,06037102103
3.723,06037102104
4.258,06037102105
4.102,06037103101
3.631,06037103102
3.758,06037103400
4.524,06037104103
3.76,06037104105
3.456,06037104108
4.216,06037104201
4.183,06037104203
4.19,06037104204
4.328,06037104310
3.851,06037104320
4.363,06037104401
4.045,06037104403
4.272,06037104404
4.269,06037104500
4.201,06037104610
4.24,06037104620
3.336,06037104701
3.914,06037104703
4.29,06037104704
4.865,06037104810
4.394,06037104821
3.824,06037104822
4.284,06037106010
4.606,06037106020
4.492,06037106111
4.549,06037106112
4.43,06037106113
3.943,06037106114
4.578,06037106403
3.775,06037106405
4.16,06037106406
2.97,06037106407
3.795,06037106408
4.102,06037106520
4.005,06037106604
4.37,06037106641
4.228,06037106642
4.32,06037106645
4.336,06037106646
4.009,06037106648
4.391,06037106649
4.345,06037107010
4.614,06037107020
4.584,06037108101
4.301,06037108102
4.649,06037108104
4.5,06037108201
4.186,06037109200
4.323,06037109300
3.921,06037109400
4.24,06037109500
4.407,06037109601
3.79,06037109603
4.178,06037109604
4.24,06037109700
4.154,06037109800
4.216,06037111100
3.934,06037111201
3.911,06037111202
4.484,06037111204
4.137,06037111205
4.028,06037111206
3.701,06037111301
3.453,06037111302
3.558,06037111400
4.378,06037113101
4.19,06037113212
4.04,06037113213
4.215,06037113232
3.367,06037113233
3.33,06037113234
3.825,06037113235
3.399,06037113321
4.197,06037113322
3.869,06037113401
3.915,06037113421
3.9,06037113422
4.274,06037115101
4.602,06037115103
3.085,06037115104
3.307,06037115201
3.607,06037115202
3.566,06037115301
3.821,06037115302
3.88,06037115401
3.694,06037115403
3.85,06037115404
4.364,06037117101
4.136,06037117102
3.673,06037117201
4.11,06037117202
4.269,06037117301
3.808,06037117302
4.347,06037117303
4.335,06037117404
3.531,06037117405
3.149,06037117407
3.317,06037117408
3.495,06037117510
3.402,06037117520
3.68,06037117530
4.53,06037119001
4.211,06037119002
4.316,06037119201
4.292,06037119202
3.399,06037119310
4.213,06037119320
3.182,06037119340
3.8,06037119341
3.981,06037119342
4.452,06037119400
4.592,06037119700
4.501,06037119800
4.531,06037119900
4.106,06037120010
3.49,06037120020
2.632,06037120030
3.228,06037120103
3.016,06037120104
3.007,06037120105
3.313,06037120106
3.168,06037120107
3.395,06037120108
4.221,06037120300
3.413,06037120400
3.864,06037121010
3.996,06037121020
3.843,06037121101
3.454,06037121210
4.272,06037121221
3.989,06037121222
4.216,06037121600
3.349,06037121801
4.201,06037121802
3.856,06037121900
4.064,06037122000
4.164,06037122120
3.794,06037122121
3.355,06037122122
4.266,06037122200
3.39,06037122410
3.432,06037122420
3.639,06037123010
4.018,06037123020
3.218,06037123103
3.234,06037123104
3.326,06037123203
3.404,06037123204
3.633,06037123205
3.337,06037123206
3.544,06037123301
3.356,06037123303
2.663,06037123304
3.428,06037123410
3.553,06037123420
3.386,06037123510
3.415,06037123520
3.508,06037123601
3.286,06037123602
3.39,06037123700
3.096,06037123800
3.668,06037123901
3.552,06037123902
3.692,06037124000
3.255,06037124102
3.638,06037124103
2.963,06037124104
3.434,06037124105
3.358,06037124201
3.723,06037124203
3.318,06037124204
3.151,06037124300
3.582,06037124400
4.105,06037124500
3.707,06037124600
3.723,06037124700
2.454,06037124902
2.989,06037124903
3.436,06037125100
3.504,06037125200
3.084,06037125310
2.778,06037125320
3.006,06037125401
3.737,06037125402
3.436,06037125501
3.186,06037125502
3.411,06037125600
3.434,06037127102
3.277,06037127103
3.6,06037127104
3.221,06037127210
2.757,06037127220
3.402,06037127300
3.83,06037127400
2.894,06037127520
3.654,06037127603
3.014,06037127604
3.911,06037127605
3.582,06037127606
4.126,06037127711
2.973,06037127712
3.017,06037127803
3.351,06037127804
3.549,06037127805
3.068,06037127806
3.516,06037127910
3.783,06037127920
3.539,06037128101
3.134,06037128102
3.041,06037128210
3.444,06037128220
3.229,06037128302
2.615,06037128303
3.632,06037128400
3.308,06037128500
3.303,06037128601
3.622,06037128602
3.503,06037128702
3.048,06037128801
3.595,06037128802
3.723,06037128910
3.499,06037131010
3.868,06037131020
4.358,06037131100
3.821,06037131200
4.278,06037131300
3.711,06037131400
4.213,06037131600
3.489,06037131701
3.992,06037131702
3.761,06037131800
4.116,06037131900
3.955,06037132001
4.113,06037132002
3.751,06037132101
3.542,06037132102
3.491,06037132300
3.704,06037132501
3.362,06037132502
3.751,06037132700
3.887,06037132900
4.232,06037133000
3.13,06037133100
3.976,06037134001
3.739,06037134002
4.238,06037134101
4.188,06037134103
4.065,06037134104
4.178,06037134201
3.87,06037134302
3.865,06037134303
3.823,06037134304
3.474,06037134305
3.898,06037134306
4.33,06037134421
4.357,06037134422
3.991,06037134423
3.163,06037134520
3.585,06037134521
3.312,06037134522
3.361,06037134710
3.511,06037134720
4.297,06037134800
3.684,06037134901
3.256,06037134903
3.579,06037134904
3.403,06037134905
4.064,06037135102
4.007,06037135111
3.133,06037135113
2.374,06037135114
4.099,06037135201
4.349,06037135202
4.161,06037135203
4.295,06037137000
3.376,06037137103
3.589,06037137201
4.767,06037137301
4.121,06037137302
4.05,06037137401
3.662,06037137402
3.599,06037137501
3.454,06037137502
4.028,06037139001
4.047,06037139200
4.357,06037139301
2.994,06037139302
2.769,06037139303
2.963,06037139401
3.77,06037139502
