B19013_001E,geoid
84091,06037101110
99583,06037101122
69676,06037101220
53798,06037101221
45662,06037101222
125675,06037101300
81154,06037101400
72656,06037102103
107656,06037102104
96167,06037102105
104500,06037102107
117857,06037103101
71754,06037103102
91213,06037103201
117338,06037103202
148036,06037103300
100893,06037103401
106161,06037103402
109688,06037104103
60519,06037104105
73344,06037104108
90469,06037104124
101509,06037104201
67872,06037104203
66167,06037104204
106250,06037104310
65521,06037104321
88125,06037104322
75234,06037104401
98400,06037104403
88125,06037104404
77888,06037104500
86220,06037104610
88972,06037104620
53011,06037104701
47981,06037104703
72784,06037104704
81518,06037104821
48750,06037104822
81500,06037104823
112375,06037104824
144375,06037106010
123250,06037106020
115357,06037106111
100758,06037106112
126190,06037106113
72065,06037106114
101346,06037106403
88651,06037106405
104598,06037106406
29083,06037106407
58056,06037106408
121935,06037106510
87029,06037106520
142500,06037106603
66611,06037106604
118387,06037106641
139145,06037106642
201250,06037106643
151389,06037106645
122734,06037106646
69125,06037106648
104773,06037106649
92788,06037107010
81429,06037107020
151027,06037108101
131014,06037108102
147893,06037108103
144167,06037108104
185852,06037108202
151250,06037108203
177283,06037108204
72396,06037109100
120016,06037109200
121750,06037109300
99718,06037109400
83561,06037109500
119063,06037109601
83878,06037109603
105015,06037109604
117104,06037109700
76681,06037109800
109600,06037111100
114489,06037111201
109137,06037111202
178706,06037111204
107028,06037111205
148929,06037111206
99457,06037111302
110469,06037111303
53989,06037111304
127115,06037111401
58650,06037111402
129038,06037113101
215756,06037113102
111806,06037113211
88917,06037113212
130446,06037113213
132981,06037113231
150678,06037113232
72769,06037113234
89744,06037113235
142917,06037113237
64717,06037113238
50625,06037113239
127448,06037113301
111893,06037113303
120364,06037113322
97064,06037113323
100960,06037113324
99000,06037113423
113472,06037113424
69559,06037113425
77070,06037113426
62266,06037113427
132614,06037113428
157829,06037115101
-666666666,06037115103
86522,06037115104
66679,06037115202
76121,06037115203
100195,06037115204
95152,06037115301
76250,06037115302
62271,06037115401
72036,06037115403
104286,06037115404
110761,06037117101
94844,06037117102
54301,06037117201
