B25018_001E,geoid
4.6,06037101110
5.9,06037101122
4.2,06037101220
3.6,06037101221
3.6,06037101222
5.3,06037101300
5.0,06037101400
5.1,06037102103
5.2,06037102104
4.9,06037102105
5.7,06037102107
5.7,06037103101
4.9,06037103102
4.3,06037103201
6.5,06037103202
6.2,06037103300
5.1,06037103401
4.8,06037103402
6.0,06037104103
5.0,06037104105
4.6,06037104108
5.6,06037104124
5.7,06037104201
5.5,06037104203
5.3,06037104204
6.0,06037104310
4.5,06037104321
5.5,06037104322
4.9,06037104401
5.3,06037104403
4.6,06037104404
5.4,06037104500
4.9,06037104610
4.8,06037104620
5.2,06037104701
4.2,06037104703
4.5,06037104704
4.7,06037104821
4.2,06037104822
5.6,06037104823
6.0,06037104824
6.0,06037106010
6.0,06037106020
5.9,06037106111
6.1,06037106112
5.6,06037106113
5.0,06037106114
5.8,06037106403
5.3,06037106405
5.4,06037106406
4.1,06037106407
4.2,06037106408
5.8,06037106510
5.2,06037106520
7.7,06037106603
5.1,06037106604
6.5,06037106641
6.2,06037106642
7.9,06037106643
6.2,06037106645
6.1,06037106646
4.9,06037106648
6.0,06037106649
5.0,06037107010
5.4,06037107020
6.8,06037108101
6.3,06037108102
7.7,06037108103
6.4,06037108104
6.5,06037108202
6.0,06037108203
6.3,06037108204
4.8,06037109100
5.2,06037109200
5.4,06037109300
5.1,06037109400
5.0,06037109500
5.7,06037109601
5.1,06037109603
5.1,06037109604
5.4,06037109700
5.3,06037109800
5.2,06037111100
6.0,06037111201
5.2,06037111202
7.6,06037111204
5.1,06037111205
6.4,06037111206
4.5,06037111302
4.8,06037111303
3.0,06037111304
5.5,06037111401
3.6,06037111402
6.8,06037113101
8.2,06037113102
6.3,06037113211
5.6,06037113212
5.6,06037113213
6.8,06037113231
6.5,06037113232
4.4,06037113234
5.1,06037113235
5.9,06037113237
3.9,06037113238
3.3,06037113239
4.3,06037113301
5.8,06037113303
6.6,06037113322
3.8,06037113323
3.5,06037113324
5.4,06037113423
5.8,06037113424
3.9,06037113425
5.2,06037113426
3.4,06037113427
6.1,06037113428
7.6,06037115101
1.4,06037115103
3.2,06037115104
