avg_travel_time,GEOID
31.5,06037101110
38.72,06037101122
30.95,06037101220
37.46,06037101221
33.12,06037101222
31.3,06037101300
43.52,06037101400
27.13,06037102103
34.35,06037102104
36.95,06037102105
40.36,06037102107
35.63,06037103101
41.26,06037103102
40.27,06037103201
36.65,06037103202
39.39,06037103300
28.11,06037103401
40.0,06037103402
33.49,06037104103
34.29,06037104105
33.31,06037104108
37.17,06037104124
35.0,06037104201
31.66,06037104203
33.33,06037104204
30.53,06037104310
38.35,06037104321
30.89,06037104322
31.75,06037104401
23.42,06037104403
34.75,06037104404
34.93,06037104500
27.83,06037104610
37.47,06037104620
31.07,06037104701
29.26,06037104703
31.67,06037104704
31.95,06037104821
31.78,06037104822
35.48,06037104823
35.94,06037104824
35.13,06037106010
35.34,06037106020
36.62,06037106111
35.59,06037106112
36.24,06037106113
31.61,06037106114
39.11,06037106403
29.25,06037106405
29.06,06037106406
32.68,06037106407
32.95,06037106408
37.75,06037106510
32.31,06037106520
37.03,06037106603
31.81,06037106604
37.14,06037106641
36.03,06037106642
41.11,06037106643
41.54,06037106645
33.59,06037106646
31.72,06037106648
34.93,06037106649
34.51,06037107010
34.15,06037107020
33.24,06037108101
31.4,06037108102
38.5,06037108103
45.86,06037108104
41.95,06037108202
33.57,06037108203
38.65,06037108204
34.58,06037109100
36.2,06037109200
34.99,06037109300
35.03,06037109400
37.33,06037109500
33.53,06037109601
34.96,06037109603
32.64,06037109604
39.1,06037109700
31.18,06037109800
28.72,06037111100
34.41,06037111201
35.66,06037111202
31.23,06037111204
35.33,06037111205
35.48,06037111206
33.66,06037111302
38.3,06037111303
25.76,06037111304
35.4,06037111401
36.77,06037111402
31.11,06037113101
35.07,06037113102
36.49,06037113211
25.57,06037113212
29.32,06037113213
40.3,06037113231
37.04,06037113232
32.35,06037113234
38.18,06037113235
33.04,06037113237
36.17,06037113238
33.96,06037113239
30.65,06037113301
32.52,06037113303
28.73,06037113322
31.38,06037113323
27.25,06037113324
33.8,06037113423
33.81,06037113424
30.81,06037113425
38.11,06037113426
31.33,06037113427
33.43,06037113428
38.67,06037115101
18.66,06037115103
30.58,06037115104
31.79,06037115202
27.1,06037115203
32.08,06037115204
34.17,06037115301
31.99,06037115302
31.59,06037115401
32.44,06037115403
35.53,06037115404
37.78,06037117101
30.9,06037117102
37.0,06037117201
30.47,06037117202
35.56,06037117301
39.68,06037117302
34.04,06037117303
40.29,06037117404
35.2,06037117405
34.04,06037117407
34.37,06037117408
31.71,06037117510
33.2,06037117520
30.44,06037117530
35.19,06037119001
37.17,06037119003
29.38,06037119004
29.72,06037119201
29.92,06037119202
30.38,06037119310
30.48,06037119320
36.12,06037119340
37.71,06037119341
39.02,06037119342
33.23,06037119400
35.2,06037119700
36.76,06037119801
41.14,06037119802
35.93,06037119900
33.44,06037120010
36.25,06037120020
36.17,06037120030
44.33,06037120103
31.86,06037120104
30.6,06037120105
41.29,06037120106
34.02,06037120107
33.58,06037120108
31.09,06037120300
26.85,06037120400
28.41,06037121010
27.92,06037121020
32.05,06037121101
30.76,06037121102
34.28,06037121210
33.46,06037121221
32.06,06037121222
33.26,06037121600
31.52,06037121801
36.31,06037121802
27.93,06037121900
29.37,06037122000
29.96,06037122120
27.51,06037122121
31.45,06037122122
29.29,06037122200
33.77,06037122410
32.17,06037122420
34.0,06037123010
30.32,06037123020
31.12,06037123103
31.88,06037123104
33.28,06037123203
36.86,06037123204
35.48,06037123205
31.23,06037123206
36.54,06037123301
38.73,06037123303
32.82,06037123304
31.59,06037123410
32.57,06037123420
33.98,06037123510
39.28,06037123520
46.49,06037123601
35.94,06037123602
35.2,06037123700
32.76,06037123800
36.47,06037123901
28.02,06037123902
33.39,06037124000
35.79,06037124102
33.07,06037124103
30.99,06037124104
31.19,06037124105
35.45,06037124201
32.78,06037124203
42.81,06037124204
31.92,06037124300
30.73,06037124400
30.45,06037124500
34.26,06037124600
38.14,06037124700
34.25,06037124902
34.58,06037124903
