avg_vehicles_per_household,GEOID
1.74,06037101110
2.31,06037101122
1.86,06037101220
1.64,06037101221
1.55,06037101222
2.18,06037101300
1.91,06037101400
1.72,06037102103
2.17,06037102104
1.94,06037102105
2.17,06037102107
2.22,06037103101
1.86,06037103102
2.04,06037103201
2.63,06037103202
2.58,06037103300
2.03,06037103401
2.21,06037103402
2.82,06037104103
1.85,06037104105
2.2,06037104108
2.12,06037104124
2.62,06037104201
2.59,06037104203
2.69,06037104204
3.1,06037104310
2.24,06037104321
2.56,06037104322
2.19,06037104401
2.66,06037104403
2.23,06037104404
2.7,06037104500
2.24,06037104610
2.59,06037104620
1.87,06037104701
2.05,06037104703
2.05,06037104704
2.24,06037104821
1.77,06037104822
2.47,06037104823
2.98,06037104824
2.72,06037106010
2.86,06037106020
2.54,06037106111
2.48,06037106112
2.64,06037106113
2.03,06037106114
2.91,06037106403
2.11,06037106405
2.32,06037106406
1.33,06037106407
1.74,06037106408
2.59,06037106510
2.34,06037106520
2.28,06037106603
2.17,06037106604
2.05,06037106641
2.34,06037106642
2.46,06037106643
1.95,06037106645
2.26,06037106646
2.34,06037106648
2.74,06037106649
2.5,06037107010
2.25,06037107020
2.21,06037108101
2.19,06037108102
2.47,06037108103
2.3,06037108104
2.15,06037108202
2.24,06037108203
1.84,06037108204
1.91,06037109100
2.17,06037109200
2.46,06037109300
2.15,06037109400
2.42,06037109500
2.66,06037109601
2.37,06037109603
2.23,06037109604
2.19,06037109700
2.16,06037109800
2.17,06037111100
2.6,06037111201
2.05,06037111202
2.56,06037111204
2.08,06037111205
2.39,06037111206
2.0,06037111302
2.3,06037111303
1.6,06037111304
2.05,06037111401
1.49,06037111402
2.37,06037113101
2.66,06037113102
2.01,06037113211
2.17,06037113212
1.99,06037113213
2.13,06037113231
2.37,06037113232
1.77,06037113234
2.05,06037113235
2.23,06037113237
1.88,06037113238
1.3,06037113239
1.94,06037113301
2.15,06037113303
2.09,06037113322
1.7,06037113323
1.48,06037113324
2.24,06037113423
1.98,06037113424
1.64,06037113425
2.06,06037113426
1.51,06037113427
2.59,06037113428
2.13,06037115101
1.36,06037115103
1.45,06037115104
2.07,06037115202
1.45,06037115203
1.69,06037115204
1.82,06037115301
2.17,06037115302
1.87,06037115401
1.83,06037115403
2.22,06037115404
2.1,06037117101
2.53,06037117102
1.66,06037117201
1.8,06037117202
2.47,06037117301
2.06,06037117302
2.86,06037117303
2.53,06037117404
1.63,06037117405
1.44,06037117407
1.63,06037117408
1.69,06037117510
1.62,06037117520
1.68,06037117530
2.9,06037119001
2.7,06037119003
2.61,06037119004
2.62,06037119201
2.4,06037119202
1.64,06037119310
1.86,06037119320
1.29,06037119340
1.98,06037119341
1.98,06037119342
2.83,06037119400
2.5,06037119700
2.84,06037119801
2.65,06037119802
2.71,06037119900
2.04,06037120010
1.52,06037120020
1.48,06037120030
1.28,06037120103
1.47,06037120104
1.73,06037120105
1.54,06037120106
1.62,06037120107
1.62,06037120108
2.14,06037120300
1.76,06037120400
2.42,06037121010
1.9,06037121020
1.97,06037121101
2.27,06037121102
2.24,06037121210
2.58,06037121221
2.06,06037121222
1.97,06037121600
2.18,06037121801
2.26,06037121802
2.14,06037121900
2.18,06037122000
2.21,06037122120
1.92,06037122121
1.71,06037122122
2.52,06037122200
1.85,06037122410
2.14,06037122420
2.08,06037123010
2.33,06037123020
1.51,06037123103
1.57,06037123104
1.66,06037123203
1.68,06037123204
2.07,06037123205
1.66,06037123206
1.69,06037123301
1.87,06037123303
1.52,06037123304
1.55,06037123410
1.67,06037123420
1.45,06037123510
1.93,06037123520
1.7,06037123601
1.44,06037123602
1.66,06037123700
1.49,06037123800
1.68,06037123901
1.84,06037123902
1.62,06037124000
1.56,06037124102
2.17,06037124103
1.43,06037124104
1.57,06037124105
1.96,06037124201
1.58,06037124203
1.4,06037124204
1.61,06037124300
1.74,06037124400
1.69,06037124500
1.71,06037124600
1.56,06037124700
1.39,06037124902
1.42,06037124903
1.48,06037125101
1.71,06037125102
1.57,06037125200
1.42,06037125310
1.25,06037125321
1.04,06037125322
1.4,06037125402
1.23,06037125403
1.24,06037125404
1.34,06037125501
1.48,06037125502
1.6,06037125600
1.75,06037127102
1.44,06037127103
1.77,06037127104
1.59,06037127210
1.39,06037127220
1.83,06037127300
1.57,06037127400
1.32,06037127520
1.68,06037127603
1.32,06037127604
1.59,06037127605
1.69,06037127606
1.98,06037127711
1.45,06037127712
1.62,06037127803
1.43,06037127804
1.56,06037127805
1.65,06037127806
1.59,06037127910
1.91,06037127920
1.7,06037128101
1.74,06037128102
1.47,06037128210
1.49,06037128220
1.6,06037128302
1.32,06037128303
1.66,06037128400
1.48,06037128500
1.73,06037128601
1.59,06037128602
1.48,06037128703
1.65,06037128704
1.46,06037128801
1.27,06037128802
1.79,06037128910
1.36,06037131021
1.68,06037131022
2.24,06037131023
2.43,06037131024
2.15,06037131100
2.23,06037131200
2.36,06037131300
1.97,06037131400
2.37,06037131600
1.64,06037131701
2.3,06037131702
1.61,06037131801
2.25,06037131802
2.28,06037131900
1.77,06037132001
2.25,06037132002
1.8,06037132101
1.67,06037132102
1.49,06037132301
2.18,06037132302
2.2,06037132501
1.75,06037132502
1.78,06037132700
1.96,06037132900
2.04,06037133000
2.13,06037133101
1.52,06037133102
2.39,06037134001
2.02,06037134002
2.05,06037134101
1.67,06037134103
2.02,06037134104
2.43,06037134201
2.07,06037134302
2.06,06037134303
2.1,06037134304
1.47,06037134305
1.64,06037134306
2.15,06037134421
2.35,06037134422
1.95,06037134423
2.13,06037134424
1.33,06037134520
1.5,06037134521
1.84,06037134522
1.67,06037134710
1.95,06037134720
1.79,06037134801
1.97,06037134802
1.73,06037134901
1.97,06037134904
1.44,06037134905
1.56,06037134906
1.46,06037134907
2.07,06037135102
2.1,06037135111
1.54,06037135113
1.32,06037135115
1.04,06037135116
2.28,06037135201
2.13,06037135202
2.17,06037135204
1.86,06037135205
2.08,06037137000
1.46,06037137103
1.95,06037137104
1.4,06037137202
2.19,06037137203
2.25,06037137301
2.24,06037137302
1.92,06037137401
2.0,06037137402
1.72,06037137501
1.99,06037137502
2.45,06037137504
2.07,06037138000
1.84,06037139001
1.77,06037139200
2.26,06037139301
1.41,06037139302
1.26,06037139303
1.45,06037139401
2.46,06037139402
1.81,06037139502
1.38,06037139504
1.04,06037139505
1.3,06037139506
1.67,06037139600
1.93,06037139701
2.43,06037139703
1.98,06037139704
2.31,06037139705
2.2,06037139801
2.38,06037139802
1.31,06037141101
1.53,06037141102
1.42,06037141201
1.77,06037141202
1.32,06037141303
1.51,06037141304
1.59,06037141305
1.48,06037141306
1.81,06037141400
2.06,06037141500
1.87,06037141600
2.17,06037141700
1.64,06037143101
1.5,06037143102
1.53,06037143200
1.39,06037143301
1.64,06037143302
1.63,06037143401
1.8,06037143402
1.77,06037143500
1.46,06037143602
1.47,06037143603
1.37,06037143605
1.35,06037143606
1.68,06037143700
1.77,06037143801
1.83,06037143802
1.85,06037143901
1.64,06037143902
1.94,06037181000
2.29,06037181300
1.73,06037181400
2.06,06037181500
1.72,06037181600
1.79,06037183101
1.63,06037183103
1.91,06037183104
1.71,06037183220
1.77,06037183221
1.8,06037183222
1.9,06037183300
1.99,06037183401
1.86,06037183402
2.13,06037183510
1.88,06037183520
1.64,06037183610
1.86,06037183620
1.43,06037183701
1.96,06037183702
1.57,06037183810
1.58,06037183820
1.36,06037185101
1.81,06037185102
1.7,06037185202
1.71,06037185203
1.93,06037185204
1.65,06037185310
1.74,06037185320
1.84,06037186100
1.68,06037186201
1.64,06037186202
1.99,06037186203
1.82,06037186301
2.04,06037186302
1.85,06037186401
1.76,06037186403
1.85,06037186404
1.95,06037187101
1.77,06037187102
1.95,06037187200
1.8,06037187300
1.42,06037188100
1.32,06037188201
1.7,06037188202
1.68,06037188300
1.31,06037189101
1.38,06037189102
0.93,06037189201
1.62,06037189202
1.69,06037189300
1.67,06037189400
1.14,06037189501
0.9,06037189502
1.35,06037189600
1.23,06037189702
1.42,06037189703
1.71,06037189704
1.11,06037189801
1.26,06037189802
1.24,06037189903
1.07,06037189904
1.1,06037189905
1.21,06037189906
1.04,06037189907
0.89,06037190101
1.23,06037190102
0.83,06037190201
0.67,06037190202
1.08,06037190302
0.69,06037190303
0.94,06037190401
1.26,06037190402
0.92,06037190510
1.08,06037190520
0.84,06037190701
1.34,06037190702
0.88,06037190801
1.17,06037190802
0.96,06037190901
1.15,06037190902
1.05,06037191000
0.97,06037191110
1.17,06037191120
1.04,06037191201
0.91,06037191203
1.25,06037191204
1.21,06037191301
1.07,06037191302
1.07,06037191410
1.57,06037191420
1.36,06037191500
1.14,06037191610
1.06,06037191620
0.85,06037191710
0.97,06037191720
1.33,06037191810
1.32,06037191820
1.14,06037191901
1.46,06037191902
1.18,06037192001
1.47,06037192002
1.15,06037192300
1.49,06037192410
1.27,06037192420
1.53,06037192510
1.7,06037192520
1.29,06037192610
1.08,06037192620
1.26,06037192700
1.33,06037194101
1.88,06037194102
1.69,06037194200
1.88,06037194300
1.34,06037194401
1.14,06037194402
1.47,06037194500
1.6,06037195100
1.43,06037195201
1.73,06037195202
1.45,06037195300
1.35,06037195400
1.35,06037195500
1.5,06037195600
1.21,06037195710
1.5,06037195720
1.51,06037195802
1.46,06037195803
1.54,06037195804
1.21,06037195901
1.43,06037195902
1.57,06037195903
1.63,06037197200
1.56,06037197300
1.68,06037197410
1.64,06037197420
1.43,06037197500
1.39,06037197600
1.31,06037197700
1.65,06037199001
1.55,06037199002
1.62,06037199110
1.45,06037199120
1.48,06037199201
1.48,06037199202
1.52,06037199300
1.61,06037199400
1.43,06037199700
1.85,06037199801
1.68,06037199802
1.24,06037199900
2.08,06037201110
2.21,06037201120
2.11,06037201200
1.86,06037201301
1.58,06037201302
1.74,06037201401
1.83,06037201402
1.97,06037201501
1.81,06037201503
1.96,06037201504
2.14,06037201601
2.01,06037201602
1.79,06037201700
1.76,06037203100
1.61,06037203200
1.25,06037203300
1.62,06037203500
1.18,06037203601
1.34,06037203602
2.01,06037203710
1.78,06037203720
1.86,06037203800
1.77,06037203900
1.54,06037204110
1.87,06037204120
1.34,06037204200
1.45,06037204300
1.51,06037204410
1.06,06037204420
1.76,06037204600
1.86,06037204700
1.78,06037204810
1.84,06037204820
1.7,06037204910
1.92,06037204920
1.46,06037205110
1.38,06037205120
1.13,06037206010
1.47,06037206020
1.2,06037206050
1.38,06037206051
1.34,06037206052
1.12,06037206053
1.62,06037206054
1.1,06037206201
0.54,06037206202
0.23,06037206301
0.15,06037206302
0.12,06037206303
1.08,06037207101
1.08,06037207102
1.12,06037207103
0.66,06037207303
0.41,06037207304
0.93,06037207305
0.76,06037207306
0.43,06037207307
0.92,06037207308
1.29,06037207400
1.24,06037207501
0.67,06037207502
1.05,06037207711
0.84,06037207712
0.98,06037207901
1.01,06037207902
1.3,06037208001
1.28,06037208002
0.99,06037208301
1.14,06037208302
0.94,06037208401
1.4,06037208402
1.47,06037208501
1.08,06037208502
1.59,06037208610
1.37,06037208620
1.21,06037208710
0.88,06037208720
0.85,06037208801
0.79,06037208802
0.6,06037208902
0.79,06037208903
0.43,06037208904
0.7,06037209103
0.64,06037209104
0.68,06037209105
0.92,06037209106
1.05,06037209201
1.12,06037209202
0.81,06037209300
0.42,06037209401
0.66,06037209402
0.65,06037209403
1.13,06037209510
0.67,06037209520
1.08,06037209810
1.31,06037209820
0.89,06037210010
1.87,06037211000
1.29,06037211121
1.13,06037211122
0.88,06037211123
1.17,06037211124
1.14,06037211201
0.98,06037211202
1.08,06037211310
1.03,06037211320
1.25,06037211410
1.33,06037211420
1.41,06037211500
1.59,06037211701
1.06,06037211703
0.94,06037211704
1.03,06037211802
1.13,06037211803
0.99,06037211804
0.84,06037211910
0.85,06037211921
1.02,06037211922
0.94,06037212101
0.94,06037212102
0.99,06037212202
0.76,06037212203
0.99,06037212204
0.86,06037212303
0.7,06037212304
1.03,06037212305
1.16,06037212306
1.03,06037212410
0.92,06037212420
1.02,06037212501
0.85,06037212502
1.39,06037212610
1.14,06037212620
1.63,06037212701
1.56,06037212702
1.46,06037212800
1.2,06037212900
1.56,06037213100
1.04,06037213201
1.26,06037213202
1.46,06037213310
1.11,06037213320
1.17,06037213401
1.07,06037213402
1.49,06037214000
1.51,06037214100
1.2,06037214400
1.26,06037214501
1.31,06037214503
1.25,06037214504
1.33,06037214505
1.29,06037214600
1.45,06037214700
1.25,06037214800
1.33,06037214902
1.06,06037214903
1.35,06037214904
1.14,06037215101
1.09,06037215102
1.91,06037216100
1.41,06037216201
1.51,06037216202
1.76,06037216301
1.37,06037216302
1.4,06037216401
1.38,06037216402
1.47,06037216700
1.59,06037216800
1.43,06037216901
1.3,06037216902
1.65,06037217001
1.58,06037217002
1.43,06037217101
1.44,06037217102
1.37,06037217200
1.31,06037218110
1.39,06037218120
1.5,06037218210
1.63,06037218220
1.66,06037218300
1.75,06037218400
1.59,06037218500
1.73,06037218600
1.46,06037218701
1.51,06037218702
1.57,06037218800
1.36,06037218900
1.88,06037219010
1.73,06037219020
1.55,06037219300
1.61,06037219500
1.91,06037219700
1.65,06037219800
1.42,06037219901
1.71,06037219902
1.29,06037220000
1.48,06037220100
1.1,06037221110
1.34,06037221120
1.77,06037221210
1.37,06037221220
1.2,06037221302
1.16,06037221303
1.43,06037221304
1.49,06037221401
1.56,06037221402
1.39,06037221500
1.49,06037221601
1.49,06037221602
1.35,06037221710
1.18,06037221810
1.0,06037221820
1.02,06037221900
1.79,06037222001
1.59,06037222002
1.44,06037222100
1.79,06037222200
1.83,06037222500
1.5,06037222600
0.93,06037222700
0.82,06037224010
0.82,06037224020
1.17,06037224200
1.36,06037224310
1.23,06037224320
1.16,06037224410
1.0,06037224420
1.39,06037224600
0.78,06037224701
0.6,06037224702
0.91,06037226001
0.68,06037226002
1.39,06037226410
1.59,06037226420
1.92,06037226701
1.87,06037226702
1.81,06037227010
2.0,06037227020
2.13,06037228100
1.62,06037228210
1.85,06037228220
1.6,06037228310
1.92,06037228320
1.76,06037228410
2.0,06037228420
1.66,06037228500
1.66,06037228600
1.9,06037228710
1.94,06037228720
1.95,06037228800
1.58,06037228900
1.98,06037229100
1.93,06037229200
1.5,06037229300
1.85,06037229410
1.73,06037229420
1.33,06037231100
1.46,06037231210
1.16,06037231220
1.95,06037231301
1.82,06037231302
1.68,06037231400
1.85,06037231500
1.9,06037231601
1.72,06037231602
1.64,06037231603
1.55,06037231710
1.31,06037231720
1.66,06037231800
2.18,06037231901
1.64,06037231902
1.66,06037232110
1.7,06037232120
2.15,06037232200
1.86,06037232300
1.9,06037232401
2.11,06037232402
1.84,06037232500
1.67,06037232601
1.85,06037232602
1.88,06037232701
1.99,06037232702
1.85,06037232800
1.41,06037234001
1.83,06037234002
1.54,06037234200
1.41,06037234301
1.3,06037234302
2.01,06037234501
1.27,06037234502
1.59,06037234600
1.77,06037234700
1.99,06037234800
0.92,06037234901
1.14,06037234902
1.81,06037235100
1.89,06037235201
1.28,06037235202
1.92,06037236001
1.28,06037236101
1.28,06037236102
1.26,06037236203
1.31,06037236204
1.29,06037236205
1.4,06037236206
1.51,06037236400
1.61,06037237101
1.37,06037237102
1.75,06037237201
1.51,06037237202
1.85,06037237300
2.05,06037237401
1.89,06037237402
1.39,06037237500
1.56,06037237600
1.94,06037237710
1.83,06037237720
1.89,06037237800
1.86,06037237900
1.74,06037238000
1.59,06037238100
1.33,06037238200
1.56,06037238310
1.13,06037238320
1.71,06037238400
1.9,06037239201
1.62,06037239202
1.57,06037239310
1.95,06037239320
2.15,06037239330
1.87,06037239501
1.93,06037239502
1.66,06037239601
1.89,06037239602
1.71,06037239701
1.84,06037239702
2.28,06037239801
1.55,06037239802
1.6,06037240010
1.92,06037240020
1.78,06037240200
1.76,06037240301
1.93,06037240302
1.82,06037240401
1.78,06037240402
1.56,06037240500
1.83,06037240600
2.0,06037240700
1.9,06037240800
2.29,06037240901
1.99,06037240902
2.17,06037241001
1.71,06037241002
2.09,06037241110
1.25,06037241120
1.93,06037241201
1.56,06037241202
1.68,06037241300
1.88,06037241400
1.71,06037242000
1.07,06037242100
2.2,06037242201
1.68,06037242202
1.47,06037242300
0.78,06037242600
1.96,06037242700
1.98,06037243001
2.48,06037243002
1.55,06037243100
2.43,06037261102
1.74,06037261103
1.76,06037261104
2.12,06037261200
2.18,06037262100
2.08,06037262200
2.13,06037262301
1.69,06037262302
2.39,06037262303
2.19,06037262400
1.86,06037262501
1.95,06037262601
1.91,06037262604
1.84,06037262704
1.84,06037262706
1.75,06037262802
1.94,06037264000
1.44,06037264102
1.39,06037264103
1.39,06037264303
1.41,06037264304
1.61,06037264305
1.48,06037264306
1.45,06037265100
1.8,06037265201
1.3,06037265203
1.05,06037265204
0.0,06037265301
1.23,06037265303
1.15,06037265304
1.22,06037265306
0.71,06037265307
1.94,06037265410
1.79,06037265420
1.08,06037265521
1.29,06037265522
1.47,06037265523
1.53,06037265524
1.39,06037265601
1.45,06037265602
1.67,06037265701
1.4,06037265702
1.48,06037267101
1.42,06037267102
1.44,06037267201
1.6,06037267202
1.32,06037267300
1.39,06037267403
1.35,06037267404
1.36,06037267405
1.29,06037267406
1.42,06037267502
1.46,06037267503
1.23,06037267504
1.34,06037267600
1.34,06037267700
1.52,06037267800
1.16,06037267901
1.47,06037267902
1.81,06037269000
1.28,06037269100
1.99,06037269300
2.18,06037269500
1.68,06037269601
1.62,06037269602
1.7,06037269700
1.47,06037269800
1.15,06037269903
1.31,06037269905
1.31,06037269906
1.34,06037269907
1.06,06037269908
1.26,06037269909
1.3,06037270101
1.42,06037270102
1.74,06037270200
1.43,06037270300
1.7,06037271100
1.32,06037271200
1.83,06037271300
1.85,06037271400
1.7,06037271500
1.45,06037271600
1.36,06037271702
1.61,06037271703
1.43,06037271704
1.42,06037271801
1.26,06037271803
1.6,06037271804
1.63,06037271901
1.58,06037271902
1.8,06037272100
1.36,06037272201
1.44,06037272202
1.66,06037272301
1.23,06037272302
1.56,06037273100
1.3,06037273200
1.25,06037273300
0.83,06037273403
1.05,06037273404
1.27,06037273502
1.47,06037273600
1.74,06037273700
1.41,06037273800
1.42,06037273902
1.48,06037274100
1.4,06037274202
1.91,06037275101
1.55,06037275102
1.43,06037275200
1.51,06037275311
1.55,06037275312
1.73,06037275313
1.5,06037275400
1.63,06037275500
1.78,06037275603
1.5,06037275604
1.37,06037275605
1.83,06037276000
1.35,06037276101
1.49,06037276102
2.23,06037276400
2.08,06037276500
2.04,06037276601
1.4,06037276605
1.58,06037276606
1.45,06037276607
1.41,06037276608
2.21,06037277000
2.18,06037277100
1.48,06037277200
0.0,06037277400
1.56,06037278001
1.78,06037278102
1.21,06037291110
1.87,06037291120
2.19,06037291130
1.93,06037291210
1.65,06037291220
2.13,06037291300
1.79,06037292001
2.5,06037292002
1.96,06037293203
2.27,06037293204
1.85,06037293205
1.87,06037293206
2.17,06037293301
2.1,06037293302
1.89,06037293304
2.1,06037293306
1.8,06037293307
2.34,06037294110
2.29,06037294120
2.12,06037294200
2.46,06037294301
2.2,06037294302
1.55,06037294410
1.8,06037294421
1.99,06037294510
2.09,06037294520
2.12,06037294610
2.35,06037294620
1.57,06037294701
1.7,06037294810
1.41,06037294820
1.96,06037294830
1.84,06037294900
1.85,06037295103
1.79,06037296210
1.11,06037296220
1.67,06037296300
1.9,06037296401
2.06,06037296402
1.58,06037296500
1.49,06037296600
1.83,06037296901
1.87,06037296902
2.15,06037297001
1.95,06037297002
1.45,06037297110
1.92,06037297120
1.69,06037297201
1.72,06037297202
1.81,06037297300
1.91,06037297400
2.18,06037297501
1.8,06037297502
1.6,06037297601
1.57,06037297602
2.19,06037300100
2.08,06037300200
2.05,06037300301
2.23,06037300400
2.0,06037300501
1.51,06037300503
1.7,06037300601
1.75,06037300602
2.02,06037300701
2.0,06037300702
1.83,06037300800
2.14,06037300901
2.14,06037300902
1.98,06037301000
1.66,06037301100
1.43,06037301203
1.28,06037301204
2.12,06037301205
1.68,06037301206
2.32,06037301300
2.16,06037301400
2.36,06037301501
1.57,06037301502
1.25,06037301601
1.48,06037301602
1.76,06037301701
1.89,06037301702
1.28,06037301801
1.36,06037301802
1.62,06037301901
1.77,06037301902
1.43,06037302002
1.36,06037302003
1.34,06037302004
1.71,06037302102
1.48,06037302103
1.44,06037302104
1.0,06037302201
1.2,06037302202
1.53,06037302301
1.41,06037302302
1.45,06037302401
1.39,06037302503
1.23,06037302504
1.38,06037302505
1.72,06037302506
2.1,06037310100
1.74,06037310201
1.75,06037310202
2.14,06037310300
1.92,06037310400
1.33,06037310501
1.55,06037310601
1.66,06037310602
1.14,06037310701
1.57,06037310703
1.09,06037310704
1.05,06037310705
1.93,06037310800
2.06,06037310900
1.93,06037311000
1.91,06037311100
1.99,06037311200
1.88,06037311300
